City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chibougamau,49.9168,-74.3659,11.82,79,100,3.44,CA,1701900060
1,port-aux-francais,-49.35,70.2167,40.08,91,100,21.0,TF,1701900061
2,margaret river,-33.95,115.0667,57.74,82,99,12.33,AU,1701900062
3,eldorado at santa fe,35.5264,-105.9347,55.31,35,0,8.99,US,1701900063
4,puerto natales,-51.7236,-72.4875,55.85,44,20,24.16,CL,1701900064
5,holualoa,19.6228,-155.9522,80.55,74,0,3.0,US,1701900065
6,uturoa,-16.7333,-151.4333,79.32,80,100,17.45,PF,1701900066
7,xilin hot,43.9667,116.0333,20.89,78,100,11.3,CN,1701900067
8,afaahiti,-17.75,-149.2833,82.27,87,100,16.78,PF,1701900067
9,port lincoln,-34.7333,135.8667,63.41,65,100,13.15,AU,1701900068
10,lazaro cardenas,17.9583,-102.2,84.61,61,72,6.22,MX,1701899953
11,west island,-12.1568,96.8225,76.98,94,100,8.05,CC,1701900070
12,jawhar,2.7809,45.5005,73.9,81,6,7.81,SO,1701900070
13,yemva,62.59,50.8594,-18.85,100,41,1.28,RU,1701900071
14,brookings,44.3114,-96.7984,54.09,52,54,6.93,US,1701899804
15,tsiombe,-25.3,45.4833,72.63,73,43,14.88,MG,1701900073
16,grytviken,-54.2811,-36.5092,31.35,79,51,9.75,GS,1701900074
17,singkil,-7.9855,111.4161,74.97,89,78,3.98,ID,1701900074
18,iqaluit,63.7506,-68.5145,8.33,78,20,10.36,CA,1701900075
19,san luis de la loma,17.2706,-100.8939,83.25,69,100,2.53,MX,1701900077
20,aasiaat,68.7098,-52.8699,22.24,71,100,20.09,GL,1701900077
21,vanimo,-2.6741,141.3028,78.28,90,100,5.46,PG,1701900078
22,tazacorte,28.629,-17.9293,68.97,88,75,7.0,ES,1701900079
23,gebeit,21.0667,36.3167,71.55,80,11,8.55,SD,1701900079
24,ust'-ilimsk,58.0006,102.6619,-41.57,99,10,3.0,RU,1701900080
25,abaza,52.655,90.0928,18.34,83,98,16.67,RU,1701900081
26,college,64.8569,-147.8028,6.08,85,100,0.0,US,1701900082
27,ushuaia,-54.8,-68.3,47.86,66,0,28.77,AR,1701900083
28,adamstown,-25.066,-130.1015,73.38,78,99,11.14,PN,1701900085
29,tofol,5.3248,163.0078,82.18,83,75,10.36,FM,1701900085
30,rabigh,22.7986,39.0349,80.49,63,18,3.98,SA,1701900087
31,kavieng,-2.5744,150.7967,83.28,77,100,4.99,PG,1701900088
32,novobod,39.0108,70.1508,42.55,37,61,5.32,TJ,1701900088
33,ovruch,51.3246,28.8035,14.68,97,99,6.64,UA,1701900089
34,hawaiian paradise park,19.5933,-154.9731,79.03,76,27,1.99,US,1701900090
35,waitangi,-43.9535,-176.5597,61.83,93,100,3.0,NZ,1701900091
36,bredasdorp,-34.5322,20.0403,62.78,88,35,8.66,ZA,1701900092
37,palmer,42.1584,-72.3287,34.52,67,100,1.99,US,1701900093
38,dashitou,43.3067,128.5114,13.33,71,8,6.08,CN,1701900093
39,luderitz,-26.6481,15.1594,61.38,92,2,8.55,NA,1701900094
40,ribeira grande,38.5167,-28.7,64.8,77,40,18.41,PT,1701900095
