City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,53.73,72,97,6.31,AU,1703958313
1,peruibe,-24.32,-46.9983,74.88,84,100,4.29,BR,1703958313
2,hendersonville,36.3048,-86.62,39.81,85,100,4.0,US,1703958040
3,kerikeri,-35.2268,173.9474,71.91,92,81,7.61,NZ,1703958315
4,businga,3.3333,20.8833,77.79,47,61,1.79,CD,1703958316
5,ribeira grande,38.5167,-28.7,63.77,59,40,5.01,PT,1703958316
6,cox's bazar,21.4532,91.9798,64.38,83,0,5.73,BD,1703958317
7,kargasok,59.0556,80.8572,14.97,91,100,17.0,RU,1703958318
8,grytviken,-54.2811,-36.5092,32.4,72,99,2.15,GS,1703958319
9,neiafu,-18.65,-173.9833,77.68,88,75,6.91,TO,1703958320
10,voi,-3.3945,38.563,75.34,87,92,7.9,KE,1703958320
11,burela de cabo,43.65,-7.4,56.17,70,84,18.86,ES,1703958321
12,chonchi,-42.6128,-73.8092,74.41,38,98,3.4,CL,1703958322
13,kachug,53.9606,105.8817,14.05,97,100,1.01,RU,1703958322
14,federal,-30.9547,-58.7833,75.69,46,7,9.17,AR,1703958323
15,albany,42.6001,-73.9662,41.65,78,95,4.0,US,1703957797
16,pacasmayo,-7.4006,-79.5714,76.24,71,100,12.57,PE,1703958324
17,adamstown,-25.066,-130.1015,72.1,76,96,15.23,PN,1703958325
18,igarka,67.4667,86.5833,14.92,93,100,15.77,RU,1703958325
19,naracoorte,-36.9579,140.7383,48.63,87,0,6.38,AU,1703958326
20,constantia,44.1833,28.65,39.88,80,76,8.81,RO,1703958245
21,beitbridge,-22.2167,30.0,77.58,56,35,10.18,ZW,1703958327
22,hawaiian paradise park,19.5933,-154.9731,71.04,97,100,4.61,US,1703958327
23,rio grande,-32.035,-52.0986,73.51,45,0,11.32,BR,1703958328
24,trujillo,-8.116,-79.03,73.36,83,20,10.36,PE,1703958272
25,san julian,21.0167,-102.1667,57.18,43,0,4.43,MX,1703958329
26,talnakh,69.4865,88.3972,1.58,99,100,1.57,RU,1703958329
27,los osos,35.3111,-120.8324,57.11,97,78,3.0,US,1703958330
28,atafu village,-8.5421,-172.5159,83.84,68,56,11.25,TK,1703958330
29,bria,6.5423,21.9863,80.51,26,25,1.88,CF,1703958331
30,longyearbyen,78.2186,15.6401,31.84,69,75,11.5,SJ,1703958102
31,san luis de la loma,17.2706,-100.8939,82.11,54,0,6.33,MX,1703958332
32,yeraliyev,43.2,51.65,45.19,80,24,8.37,KZ,1703958332
33,ramanuj ganj,23.8,83.7,53.44,65,0,2.44,IN,1703958333
34,port-aux-francais,-49.35,70.2167,42.22,94,81,31.85,TF,1703958333
35,kolwezi,-10.7148,25.4667,62.96,98,74,5.5,CD,1703958334
36,waitangi,-43.9535,-176.5597,61.83,98,97,5.01,NZ,1703958334
37,trincomalee,8.5711,81.2335,79.11,83,27,13.42,LK,1703958335
38,zambezi,-13.5432,23.1047,71.56,78,34,3.15,ZM,1703958335
39,yelandur,12.0667,77.0333,66.92,86,87,3.69,IN,1703958336
40,nemuro,43.3236,145.575,26.42,79,100,8.34,JP,1703958336
41,weno,7.4515,151.8468,82.35,83,40,5.75,FM,1703958338
42,bredasdorp,-34.5322,20.0403,67.39,96,100,12.26,ZA,1703958339
43,mocimboa,-11.3167,40.35,82.06,81,76,8.81,MZ,1703958339
44,bethel,41.3712,-73.414,46.22,76,100,9.22,US,1703958340
